user_id,country,current_role,kaggle_tier,years_experience,hours_spent_weekly,gold_medals,silver_medals,datasets_shared,competitions_entered,follower_count,github_link,portfolio_score,total_certifications,monthly_recruiter_pings,salary_usd,experience_years
KAG_2026_10058,Germany,Researcher,Expert,17,28,2,9,19,36,270,1,70,3,14,176384.0,17.0
KAG_2026_10059,India,Data Scientist,Grandmaster,18,52,5,17,20,113,2679,1,100,2,23,136335.0,18.0
KAG_2026_10060,India,Data Analyst,Contributor,16,13,0,8,7,6,150,1,41,9,8,94863.0,16.0
KAG_2026_10061,USA,Data Analyst,Novice,4,6,0,0,8,15,11,0,10,4,1,72321.0,4.0
KAG_2026_10062,USA,Data Analyst,Contributor,19,19,0,3,13,8,150,1,44,5,9,142866.0,19.0
KAG_2026_10063,Germany,Student,Contributor,1,16,0,6,8,9,354,1,17,1,4,0.0,1.0
KAG_2026_10064,USA,Researcher,Expert,19,28,2,8,16,30,536,1,65,5,14,216556.0,19.0
KAG_2026_10065,India,ML Engineer,Grandmaster,11,55,15,13,25,129,2593,1,84,3,26,121209.0,11.0
KAG_2026_10066,UK,Student,Contributor,2,16,0,5,10,23,363,1,23,4,4,0.0,2.0
KAG_2026_10067,USA,Student,Contributor,1,7,0,4,7,15,217,1,21,1,4,0.0,1.0
KAG_2026_10068,Germany,Data Analyst,Novice,3,8,0,0,4,1,8,1,4,5,0,58345.0,3.0
KAG_2026_10069,India,Student,Expert,1,22,1,2,12,30,445,1,32,2,8,0.0,1.0
KAG_2026_10070,USA,Researcher,Expert,12,24,4,3,14,33,488,1,54,6,13,198343.0,12.0
KAG_2026_10071,Germany,ML Engineer,Contributor,12,13,0,8,12,22,53,1,40,10,7,159560.0,12.0
KAG_2026_10072,Germany,Student,Novice,0,7,0,0,4,2,2,1,7,3,0,0.0,0.0
KAG_2026_10073,India,Data Scientist,Contributor,17,19,0,7,8,24,136,1,45,2,9,119500.0,17.0
KAG_2026_10074,USA,ML Engineer,Expert,13,32,1,6,15,29,452,1,64,6,12,213858.0,13.0
KAG_2026_10075,USA,Researcher,Master,19,37,17,11,17,61,1091,1,85,5,26,240987.0,19.0
KAG_2026_10076,Germany,ML Engineer,Contributor,12,13,0,6,12,10,385,0,47,9,7,160967.0,12.0
KAG_2026_10077,Germany,Data Analyst,Contributor,17,11,0,4,8,15,332,0,47,9,9,118985.0,17.0
KAG_2026_10078,Germany,Data Analyst,Novice,20,10,0,0,5,9,0,1,36,9,6,107719.0,20.0
KAG_2026_10079,Brazil,Student,Novice,1,14,0,0,7,19,14,1,5,3,0,13393.0,1.0
KAG_2026_10080,USA,Student,Novice,0,2,0,0,5,11,1,1,6,2,0,0.0,0.0
KAG_2026_10081,Germany,Data Scientist,Expert,10,20,1,8,10,25,212,1,57,5,11,134489.0,10.0
KAG_2026_10082,USA,Data Analyst,Contributor,9,10,0,9,5,24,381,1,33,2,6,96750.0,9.0
KAG_2026_10083,India,Student,Novice,1,2,0,0,7,19,13,0,14,3,0,0.0,1.0
KAG_2026_10084,India,Data Scientist,Contributor,16,12,0,2,6,19,152,1,50,4,8,109041.0,16.0
KAG_2026_10085,USA,Student,Novice,2,9,0,0,9,3,13,1,5,3,0,0.0,2.0
KAG_2026_10086,Spain,Data Analyst,Expert,11,25,4,7,17,22,388,1,56,2,13,93531.0,11.0
KAG_2026_10087,Nigeria,ML Engineer,Contributor,4,10,0,8,8,18,221,0,25,4,5,58577.0,4.0
KAG_2026_10088,Nigeria,Data Analyst,Novice,20,2,0,0,1,4,14,0,30,4,6,91476.0,20.0
KAG_2026_10089,Brazil,Data Scientist,Expert,15,21,1,6,18,24,504,1,57,5,13,120955.0,15.0
KAG_2026_10090,France,Student,Expert,2,33,2,3,10,36,189,1,42,2,9,0.0,2.0
KAG_2026_10091,India,Student,Novice,2,9,0,0,9,4,12,1,15,2,0,0.0,2.0
KAG_2026_10092,Brazil,Researcher,Grandmaster,14,55,21,14,28,111,2575,1,100,7,30,127544.0,14.0
KAG_2026_10093,USA,Researcher,Expert,9,26,4,9,14,21,322,1,54,9,12,193773.0,9.0
KAG_2026_10094,India,Data Analyst,Novice,3,2,0,0,0,11,3,0,8,7,0,37160.0,3.0
KAG_2026_10095,Brazil,Data Scientist,Expert,20,26,3,6,11,27,301,1,75,8,15,140813.0,20.0
KAG_2026_10096,Canada,Student,Novice,2,3,0,0,2,19,0,1,13,4,0,0.0,2.0
KAG_2026_10097,India,Data Analyst,Novice,10,2,0,0,0,8,12,1,23,10,3,62001.0,10.0
KAG_2026_10098,USA,Data Scientist,Contributor,14,11,0,2,7,10,344,1,47,4,8,169707.0,14.0
KAG_2026_10099,India,ML Engineer,Expert,11,25,3,5,15,36,174,1,55,6,12,116442.0,11.0
KAG_2026_10100,UK,Data Scientist,Grandmaster,18,50,14,25,26,124,2781,1,100,11,28,190656.0,18.0
KAG_2026_10101,Nigeria,Researcher,Master,20,41,22,39,18,67,902,1,88,9,29,130212.0,20.0
KAG_2026_10102,Germany,Data Scientist,Expert,16,26,1,8,19,22,513,1,60,3,13,164093.0,16.0
KAG_2026_10103,France,ML Engineer,Master,17,46,20,22,24,50,1110,1,93,3,27,178381.0,17.0
KAG_2026_10104,Spain,Data Scientist,Master,17,47,11,23,18,52,1117,1,89,3,22,156617.0,17.0
KAG_2026_10105,UK,ML Engineer,Grandmaster,15,63,24,14,20,116,2502,1,94,10,32,189552.0,15.0
KAG_2026_10106,India,Data Analyst,Novice,6,4,0,0,0,16,14,0,22,10,1,45089.0,6.0
KAG_2026_10107,UK,ML Engineer,Grandmaster,10,64,10,16,27,120,2843,1,93,6,24,165215.0,10.0
KAG_2026_10108,UK,Student,Contributor,2,9,0,6,9,24,405,0,30,4,4,0.0,2.0
KAG_2026_10109,USA,Student,Master,1,43,19,32,15,54,819,1,58,1,21,0.0,1.0
KAG_2026_10110,USA,Data Analyst,Contributor,20,19,0,3,10,7,420,1,52,2,10,145064.0,20.0
KAG_2026_10111,Germany,Data Analyst,Novice,4,2,0,0,8,3,9,1,17,10,1,64510.0,4.0
KAG_2026_10112,Germany,Data Scientist,Contributor,17,8,0,5,14,12,76,1,45,7,9,147977.0,17.0
KAG_2026_10113,USA,Student,Novice,0,2,0,0,9,19,7,1,7,4,0,0.0,0.0
KAG_2026_10114,USA,Data Scientist,Master,5,39,15,22,23,62,1155,1,69,10,21,179151.0,5.0
KAG_2026_10115,Canada,Researcher,Grandmaster,15,63,14,19,24,128,2581,1,95,10,27,202614.0,15.0
KAG_2026_10116,Brazil,Researcher,Expert,5,31,1,8,11,28,514,1,45,2,10,82365.0,5.0
KAG_2026_10117,USA,Data Analyst,Novice,3,3,0,0,3,4,3,1,5,6,0,73454.0,3.0
KAG_2026_10118,USA,Data Analyst,Novice,19,10,0,0,3,14,3,0,30,3,5,139343.0,19.0
KAG_2026_10119,USA,Data Scientist,Contributor,4,19,0,1,7,8,78,1,29,3,5,148799.0,4.0
KAG_2026_10120,India,Data Analyst,Contributor,13,21,0,8,9,21,123,0,38,4,7,76647.0,13.0
KAG_2026_10121,Spain,Student,Novice,1,2,0,0,2,2,7,1,9,3,0,0.0,1.0
KAG_2026_10122,India,ML Engineer,Contributor,19,13,0,2,8,12,388,0,45,6,9,116938.0,19.0
KAG_2026_10123,Japan,Data Scientist,Contributor,17,20,0,7,5,18,379,0,51,10,9,147317.0,17.0
KAG_2026_10124,India,Researcher,Expert,11,33,1,2,11,27,244,1,61,2,11,109137.0,11.0
KAG_2026_10125,UK,Student,Expert,1,27,3,6,12,27,225,1,41,1,9,0.0,1.0
KAG_2026_10126,USA,ML Engineer,Expert,13,20,4,1,11,37,382,1,51,9,13,195480.0,13.0
KAG_2026_10127,USA,ML Engineer,Expert,10,29,3,2,11,25,454,1,52,3,12,207704.0,10.0
KAG_2026_10128,USA,Data Scientist,Contributor,8,18,0,9,6,11,367,1,34,10,6,168936.0,8.0
KAG_2026_10129,India,Data Scientist,Expert,14,25,4,6,19,35,532,1,62,5,14,117530.0,14.0
KAG_2026_10130,Germany,Data Analyst,Novice,19,11,0,0,6,12,8,0,40,7,5,121670.0,19.0
KAG_2026_10131,Spain,ML Engineer,Expert,15,24,2,3,15,25,510,1,60,3,13,144056.0,15.0
KAG_2026_10132,USA,Data Scientist,Expert,18,34,4,1,14,26,173,1,68,2,15,203915.0,18.0
KAG_2026_10133,India,ML Engineer,Master,21,36,8,35,19,58,865,1,83,4,22,156245.0,21.0
KAG_2026_10134,France,Data Analyst,Grandmaster,15,57,7,22,21,121,2898,1,90,7,24,122420.0,15.0
KAG_2026_10135,France,ML Engineer,Grandmaster,12,56,18,23,21,121,2824,1,91,11,28,154665.0,12.0
KAG_2026_10136,India,ML Engineer,Expert,17,26,1,4,11,26,294,1,61,9,13,124967.0,17.0
KAG_2026_10137,Spain,Data Analyst,Expert,8,32,4,8,13,27,452,1,50,2,12,77411.0,8.0
KAG_2026_10138,Nigeria,Data Analyst,Novice,13,3,0,0,4,1,10,0,26,10,3,70559.0,13.0
KAG_2026_10139,India,ML Engineer,Contributor,7,7,0,5,5,16,83,1,32,6,6,83346.0,7.0
KAG_2026_10140,Germany,Data Scientist,Contributor,20,16,0,5,8,13,40,1,57,3,10,154609.0,20.0
KAG_2026_10141,Japan,Researcher,Expert,17,30,1,2,17,39,275,1,66,11,13,176420.0,17.0
KAG_2026_10142,UK,Student,Contributor,2,10,0,7,10,22,423,0,24,3,4,0.0,2.0
KAG_2026_10143,Japan,ML Engineer,Expert,21,24,3,8,15,20,235,1,77,6,15,171856.0,21.0
KAG_2026_10144,UK,Data Analyst,Novice,19,7,0,0,9,17,7,0,42,3,5,117593.0,19.0
KAG_2026_10145,France,ML Engineer,Expert,19,33,1,9,19,35,341,1,70,6,14,153956.0,19.0
KAG_2026_10146,Spain,Student,Grandmaster,0,51,13,20,23,122,2601,1,78,1,22,0.0,0.0
KAG_2026_10147,UK,Data Analyst,Contributor,11,20,0,1,12,23,128,1,36,8,7,88455.0,11.0
KAG_2026_10148,Germany,Researcher,Expert,4,30,3,6,19,36,259,1,39,2,10,128564.0,4.0
KAG_2026_10149,Canada,Student,Novice,1,5,0,0,1,16,4,0,12,4,0,0.0,1.0
KAG_2026_10150,USA,Researcher,Expert,7,26,2,2,14,25,485,1,51,8,11,178617.0,7.0
KAG_2026_10151,Nigeria,Student,Contributor,2,9,0,5,10,8,373,0,19,3,4,0.0,2.0
KAG_2026_10152,India,Data Scientist,Grandmaster,17,63,20,19,23,117,2501,1,96,4,31,141985.0,17.0
KAG_2026_10153,India,Student,Contributor,2,21,0,7,11,16,280,0,25,3,4,0.0,2.0
KAG_2026_10154,Spain,ML Engineer,Contributor,3,12,0,7,10,17,253,1,23,9,4,94994.0,3.0
KAG_2026_10155,UK,Data Analyst,Novice,11,9,0,0,0,16,4,1,26,9,3,80290.0,11.0
KAG_2026_10156,Brazil,Data Analyst,Expert,7,34,3,2,14,20,257,1,42,11,11,68643.0,7.0
KAG_2026_10157,USA,Student,Novice,0,10,0,0,6,3,8,1,9,3,0,0.0,0.0
KAG_2026_10158,India,Data Analyst,Novice,8,9,0,0,2,18,12,1,17,6,2,55045.0,8.0
KAG_2026_10159,Spain,ML Engineer,Master,8,42,14,16,18,55,1152,1,68,11,21,136311.0,8.0
KAG_2026_10160,India,Student,Novice,0,11,0,0,0,4,11,0,1,3,0,0.0,0.0
KAG_2026_10161,Germany,Data Analyst,Contributor,14,8,0,6,10,7,211,1,42,11,8,107108.0,14.0
KAG_2026_10162,Canada,ML Engineer,Contributor,14,13,0,5,13,8,197,1,45,11,8,158906.0,14.0
KAG_2026_10163,India,ML Engineer,Grandmaster,8,53,12,31,24,128,2747,1,85,8,24,118690.0,8.0
KAG_2026_10164,Brazil,Researcher,Expert,21,31,4,1,14,26,375,1,68,9,16,123660.0,21.0
KAG_2026_10165,USA,Data Analyst,Novice,10,8,0,0,8,2,10,0,15,6,3,107570.0,10.0
KAG_2026_10166,Japan,Data Analyst,Contributor,5,10,0,6,9,15,51,0,31,7,5,74290.0,5.0
KAG_2026_10167,France,Data Scientist,Expert,13,33,4,7,13,22,548,1,59,7,13,139489.0,13.0
KAG_2026_10168,USA,Data Analyst,Novice,15,8,0,0,9,18,8,0,23,5,4,118010.0,15.0
KAG_2026_10169,Germany,Student,Contributor,1,15,0,3,7,24,64,0,21,2,4,0.0,1.0
KAG_2026_10170,India,ML Engineer,Contributor,6,18,0,6,6,22,326,1,30,5,5,73665.0,6.0
KAG_2026_10171,India,Data Analyst,Novice,19,6,0,0,8,15,8,0,30,9,5,84721.0,19.0
KAG_2026_10172,India,Data Scientist,Contributor,18,14,0,4,11,8,140,0,42,2,9,120974.0,18.0
KAG_2026_10173,UK,ML Engineer,Master,9,48,11,36,20,52,1028,1,70,5,20,151792.0,9.0
KAG_2026_10174,Spain,Data Analyst,Novice,7,9,0,0,6,10,6,0,17,6,2,61683.0,7.0
KAG_2026_10175,Brazil,Researcher,Grandmaster,7,50,8,26,22,122,2894,1,85,6,22,103546.0,7.0
KAG_2026_10176,Brazil,Researcher,Expert,7,22,4,2,17,39,370,1,50,3,12,84674.0,7.0
KAG_2026_10177,India,Researcher,Grandmaster,6,51,13,18,20,126,2547,1,86,10,24,103651.0,6.0
KAG_2026_10178,Brazil,Data Analyst,Novice,9,2,0,0,6,11,10,0,20,6,2,52966.0,9.0
KAG_2026_10179,Nigeria,Researcher,Expert,15,26,4,8,18,24,534,1,64,2,14,99671.0,15.0
KAG_2026_10180,USA,Student,Master,0,49,8,20,18,63,1190,1,51,4,16,0.0,0.0
KAG_2026_10181,India,Data Analyst,Novice,9,14,0,0,0,6,7,0,20,11,2,57652.0,9.0
KAG_2026_10182,USA,Student,Novice,1,9,0,0,8,9,13,0,7,1,0,0.0,1.0
KAG_2026_10183,USA,Data Scientist,Grandmaster,11,64,6,20,29,125,2682,1,79,6,22,183340.0,11.0
KAG_2026_10184,India,ML Engineer,Expert,21,31,2,4,14,39,323,1,64,7,15,128386.0,21.0
KAG_2026_10185,Spain,Data Analyst,Expert,10,32,1,2,14,31,298,1,58,2,11,95598.0,10.0
KAG_2026_10186,Canada,ML Engineer,Contributor,13,19,0,2,6,17,322,1,38,10,7,171605.0,13.0
KAG_2026_10187,USA,ML Engineer,Expert,14,22,4,3,15,20,179,1,59,6,14,220306.0,14.0
KAG_2026_10188,UK,Researcher,Expert,13,22,4,1,14,35,537,1,51,11,13,141378.0,13.0
KAG_2026_10189,India,Data Analyst,Contributor,12,15,0,7,6,18,432,0,45,6,7,75560.0,12.0
KAG_2026_10190,France,ML Engineer,Expert,17,30,1,9,13,21,372,1,58,10,13,155941.0,17.0
KAG_2026_10191,Nigeria,Researcher,Expert,18,22,2,8,15,39,442,1,67,5,14,122364.0,18.0
KAG_2026_10192,USA,Researcher,Expert,17,26,4,1,16,32,370,1,60,5,15,215463.0,17.0
KAG_2026_10193,USA,Data Analyst,Contributor,6,21,0,2,7,6,99,1,35,9,5,91620.0,6.0
KAG_2026_10194,USA,Researcher,Master,10,48,23,25,18,53,912,1,77,6,26,199827.0,10.0
KAG_2026_10195,USA,ML Engineer,Contributor,17,12,0,1,5,17,187,0,43,10,9,217240.0,17.0
KAG_2026_10196,India,ML Engineer,Expert,12,32,1,9,13,35,199,1,57,11,12,102869.0,12.0
KAG_2026_10197,Canada,Researcher,Master,17,37,14,12,24,68,1148,1,81,4,24,188049.0,17.0
KAG_2026_10198,India,Researcher,Expert,8,26,2,4,16,25,278,1,44,5,11,99796.0,8.0
KAG_2026_10199,USA,Student,Novice,0,8,0,0,7,20,4,0,3,3,0,14067.0,0.0
KAG_2026_10200,USA,Data Scientist,Contributor,16,15,0,6,14,14,109,1,51,9,8,173483.0,16.0
KAG_2026_10201,USA,ML Engineer,Expert,14,25,2,1,16,23,548,1,66,10,13,184490.0,14.0
KAG_2026_10202,UK,ML Engineer,Contributor,18,11,0,8,13,14,60,1,51,8,9,157250.0,18.0
KAG_2026_10203,USA,Student,Novice,0,12,0,0,8,12,0,0,8,1,0,0.0,0.0
KAG_2026_10204,USA,Student,Contributor,0,12,0,9,11,6,56,0,15,1,4,0.0,0.0
KAG_2026_10205,Brazil,Data Analyst,Novice,3,2,0,0,8,16,1,1,13,7,0,34852.0,3.0
KAG_2026_10206,Canada,ML Engineer,Contributor,10,21,0,3,7,14,71,0,30,7,7,139427.0,10.0
KAG_2026_10207,India,ML Engineer,Expert,11,27,2,4,18,34,433,1,56,6,12,113084.0,11.0
KAG_2026_10208,USA,Student,Novice,2,9,0,0,0,12,2,1,6,4,0,0.0,2.0
KAG_2026_10209,Brazil,Data Analyst,Novice,6,11,0,0,7,11,7,1,18,4,1,41169.0,6.0
KAG_2026_10210,Germany,Researcher,Expert,12,31,2,4,15,37,412,1,50,9,12,155960.0,12.0
KAG_2026_10211,India,Data Scientist,Contributor,10,14,0,1,11,5,419,0,34,7,7,96032.0,10.0
KAG_2026_10212,France,Data Scientist,Master,16,39,5,22,21,65,957,1,75,8,19,165593.0,16.0
KAG_2026_10213,USA,Data Analyst,Novice,6,3,0,0,0,3,3,0,17,10,1,93790.0,6.0
KAG_2026_10214,Canada,Researcher,Expert,12,31,2,6,12,25,526,1,60,5,12,157088.0,12.0
KAG_2026_10215,Brazil,ML Engineer,Contributor,4,16,0,5,12,7,202,0,34,7,5,63130.0,4.0
KAG_2026_10216,India,Data Analyst,Contributor,18,7,0,5,7,21,420,0,45,7,9,99123.0,18.0
KAG_2026_10217,UK,ML Engineer,Expert,9,26,4,1,17,39,277,1,51,10,12,147909.0,9.0
KAG_2026_10218,Canada,Student,Novice,2,4,0,0,8,3,13,1,7,3,0,0.0,2.0
KAG_2026_10219,USA,Student,Contributor,0,12,0,3,5,22,258,0,25,3,4,0.0,0.0
KAG_2026_10220,India,ML Engineer,Expert,6,28,3,4,10,33,493,1,47,4,11,81715.0,6.0
KAG_2026_10221,Spain,Student,Novice,2,8,0,0,2,10,3,1,14,3,0,0.0,2.0
KAG_2026_10222,Germany,ML Engineer,Master,19,42,10,30,18,63,1085,1,78,5,22,175707.0,19.0
KAG_2026_10223,Germany,ML Engineer,Contributor,13,10,0,9,13,7,107,1,44,6,7,162661.0,13.0
KAG_2026_10224,India,Student,Grandmaster,2,60,21,25,22,125,2549,1,86,3,27,0.0,2.0
KAG_2026_10225,UK,ML Engineer,Contributor,14,9,0,9,8,13,255,0,36,2,8,165093.0,14.0
KAG_2026_10226,Canada,ML Engineer,Grandmaster,19,57,24,38,25,128,2806,1,100,10,33,211656.0,19.0
KAG_2026_10227,France,Data Scientist,Contributor,9,18,0,3,10,16,201,1,29,5,6,117609.0,9.0
KAG_2026_10228,USA,Student,Novice,0,10,0,0,9,6,2,1,7,4,0,0.0,0.0
KAG_2026_10229,India,Student,Contributor,1,7,0,4,12,20,228,0,28,3,4,6325.0,1.0
KAG_2026_10230,Brazil,ML Engineer,Contributor,9,15,0,6,13,21,76,1,35,6,6,81816.0,9.0
KAG_2026_10231,Germany,Data Scientist,Expert,12,27,4,3,10,32,168,1,61,8,13,146593.0,12.0
KAG_2026_10232,Nigeria,Researcher,Expert,19,24,2,7,19,32,302,1,66,2,14,125328.0,19.0
KAG_2026_10233,USA,Researcher,Grandmaster,6,63,22,11,23,127,2626,1,80,5,28,202376.0,6.0
KAG_2026_10234,USA,ML Engineer,Expert,20,26,2,3,18,31,434,1,62,2,15,233040.0,20.0
KAG_2026_10235,India,Data Scientist,Expert,17,26,2,9,18,38,408,1,67,3,14,129293.0,17.0
KAG_2026_10236,USA,Data Analyst,Contributor,5,20,0,1,13,6,274,1,33,9,5,91243.0,5.0
KAG_2026_10237,USA,Researcher,Grandmaster,20,52,15,27,23,115,2874,1,100,10,29,243554.0,20.0
KAG_2026_10238,Brazil,ML Engineer,Contributor,5,14,0,9,11,16,87,0,32,4,5,64526.0,5.0
KAG_2026_10239,USA,ML Engineer,Expert,10,27,3,4,14,24,342,1,46,3,12,207517.0,10.0
KAG_2026_10240,India,Data Analyst,Contributor,5,14,0,6,9,21,215,1,23,2,5,47414.0,5.0
KAG_2026_10241,India,ML Engineer,Contributor,20,17,0,4,14,7,402,0,58,6,10,126843.0,20.0
KAG_2026_10242,USA,Data Scientist,Contributor,12,13,0,5,7,9,235,1,38,6,7,193419.0,12.0
KAG_2026_10243,USA,Data Scientist,Grandmaster,9,54,20,31,23,122,2804,1,87,2,28,200787.0,9.0
KAG_2026_10244,USA,Researcher,Grandmaster,8,59,6,22,22,119,2840,1,75,4,21,188855.0,8.0
KAG_2026_10245,USA,ML Engineer,Master,8,45,7,22,16,50,1072,1,63,4,17,202578.0,8.0
KAG_2026_10246,India,Student,Contributor,2,18,0,5,12,11,184,1,22,1,4,0.0,2.0
KAG_2026_10247,USA,Data Scientist,Grandmaster,16,54,19,21,25,122,2894,1,98,7,30,225704.0,16.0
KAG_2026_10248,USA,ML Engineer,Expert,15,31,3,3,19,36,457,1,65,7,14,223123.0,15.0
KAG_2026_10249,Germany,Data Analyst,Novice,12,2,0,0,8,15,0,1,19,2,3,95238.0,12.0
KAG_2026_10250,India,Data Scientist,Expert,18,27,1,3,18,26,486,1,60,5,13,130304.0,18.0
KAG_2026_10251,India,Data Scientist,Contributor,5,12,0,7,6,17,253,1,34,6,5,75990.0,5.0
